Query_ID,Pass,Faithfulness_Score,Estimated_Cost
QID_vp_448,0,0.22,$0.0182
QID_vp_194,1,0.97,$0.0198
QID_vp_250,1,0.98,$0.0191
QID_vp_404,1,0.75,$0.0167
QID_vp_389,1,0.67,$0.0171
QID_vp_145,1,0.87,$0.0205
QID_vp_305,1,0.93,$0.0194
QID_vp_215,1,0.69,$0.0197
QID_vp_242,1,0.96,$0.0164
QID_vp_206,1,0.84,$0.0156
QID_vp_403,1,0.62,$0.0174
QID_vp_135,1,0.89,$0.0151
QID_vp_259,1,0.94,$0.0166
QID_vp_492,0,0.28,$0.0165
QID_vp_036,1,0.79,$0.0162
QID_vp_413,1,0.67,$0.0183
QID_vp_447,0,0.10,$0.0177
QID_vp_199,1,0.79,$0.0180
QID_vp_284,1,0.94,$0.0190
QID_vp_048,1,0.87,$0.0157
QID_vp_059,1,0.60,$0.0190
QID_vp_114,1,0.87,$0.0163
QID_vp_359,1,0.73,$0.0173
QID_vp_481,0,0.18,$0.0208
QID_vp_452,0,0.40,$0.0155
QID_vp_121,1,0.65,$0.0170
QID_vp_150,1,0.79,$0.0171
QID_vp_410,1,0.79,$0.0166
QID_vp_411,1,0.66,$0.0186
QID_vp_487,0,0.04,$0.0191
QID_vp_462,0,0.18,$0.0181
QID_vp_271,1,0.92,$0.0171
QID_vp_118,1,0.69,$0.0181
QID_vp_054,1,0.95,$0.0179
QID_vp_405,1,0.89,$0.0176
QID_vp_026,1,0.93,$0.0202
QID_vp_134,1,0.87,$0.0176
QID_vp_157,1,0.85,$0.0201
QID_vp_256,1,0.64,$0.0209
QID_vp_070,1,0.92,$0.0150
QID_vp_198,1,0.83,$0.0168
QID_vp_090,1,0.97,$0.0182
QID_vp_379,1,0.70,$0.0164
QID_vp_022,1,0.68,$0.0199
QID_vp_189,1,0.89,$0.0161
QID_vp_377,1,0.95,$0.0183
QID_vp_204,1,0.89,$0.0157
QID_vp_436,0,0.46,$0.0170
QID_vp_068,1,0.91,$0.0202
QID_vp_080,1,0.95,$0.0150
QID_vp_211,1,0.72,$0.0190
QID_vp_098,1,0.86,$0.0204
QID_vp_089,1,0.64,$0.0205
QID_vp_052,1,0.79,$0.0175
QID_vp_368,1,0.71,$0.0199
QID_vp_299,1,0.64,$0.0170
QID_vp_192,1,0.69,$0.0151
QID_vp_438,0,0.52,$0.0168
QID_vp_154,1,0.76,$0.0169
QID_vp_107,1,0.71,$0.0191
QID_vp_422,0,0.38,$0.0188
QID_vp_064,1,0.95,$0.0205
QID_vp_464,0,0.53,$0.0158
QID_vp_457,0,0.54,$0.0169
QID_vp_408,1,0.94,$0.0183
QID_vp_074,1,0.90,$0.0168
QID_vp_018,1,0.79,$0.0187
QID_vp_319,1,0.90,$0.0159
QID_vp_268,1,0.97,$0.0150
QID_vp_463,0,0.09,$0.0179
QID_vp_113,1,0.72,$0.0202
QID_vp_416,1,0.85,$0.0207
QID_vp_190,1,0.97,$0.0154
QID_vp_213,1,0.99,$0.0153
QID_vp_219,1,0.66,$0.0171
QID_vp_391,1,0.84,$0.0172
QID_vp_345,1,0.92,$0.0151
QID_vp_313,1,0.80,$0.0159
QID_vp_274,1,0.99,$0.0193
QID_vp_183,1,0.87,$0.0157
QID_vp_346,1,0.63,$0.0190
QID_vp_180,1,0.66,$0.0185
QID_vp_489,0,0.01,$0.0177
QID_vp_153,1,0.62,$0.0162
QID_vp_178,1,0.69,$0.0156
QID_vp_394,1,0.85,$0.0153
QID_vp_423,0,0.02,$0.0170
QID_vp_002,1,0.68,$0.0157
QID_vp_415,1,0.90,$0.0164
QID_vp_482,0,0.22,$0.0165
QID_vp_104,1,0.83,$0.0181
QID_vp_261,1,0.98,$0.0187
QID_vp_225,1,0.61,$0.0165
QID_vp_124,1,0.78,$0.0174
QID_vp_494,0,0.28,$0.0192
QID_vp_265,1,0.65,$0.0208
QID_vp_326,1,0.71,$0.0198
QID_vp_132,1,0.82,$0.0158
QID_vp_309,1,0.91,$0.0204
QID_vp_397,1,0.68,$0.0184
QID_vp_449,0,0.17,$0.0174
QID_vp_073,1,0.92,$0.0202
QID_vp_109,1,0.82,$0.0200
QID_vp_040,1,0.88,$0.0199
QID_vp_241,1,0.61,$0.0170
QID_vp_443,0,0.48,$0.0189
QID_vp_137,1,0.77,$0.0206
QID_vp_249,1,0.92,$0.0167
QID_vp_287,1,0.89,$0.0186
QID_vp_437,0,0.11,$0.0194
QID_vp_300,1,0.90,$0.0177
QID_vp_263,1,0.62,$0.0181
QID_vp_181,1,0.89,$0.0207
QID_vp_258,1,0.75,$0.0170
QID_vp_207,1,1.00,$0.0207
QID_vp_297,1,0.78,$0.0198
QID_vp_355,1,0.89,$0.0163
QID_vp_327,1,0.83,$0.0199
QID_vp_317,1,0.96,$0.0167
QID_vp_409,1,0.88,$0.0193
QID_vp_084,1,0.88,$0.0205
QID_vp_096,1,0.73,$0.0207
QID_vp_060,1,0.63,$0.0176
QID_vp_016,1,0.91,$0.0171
QID_vp_191,1,0.80,$0.0210
QID_vp_012,1,0.99,$0.0195
QID_vp_193,1,0.84,$0.0180
QID_vp_031,1,0.75,$0.0200
QID_vp_133,1,0.73,$0.0200
QID_vp_461,0,0.13,$0.0200
QID_vp_065,1,0.94,$0.0208
QID_vp_337,1,0.66,$0.0165
QID_vp_108,1,0.86,$0.0172
QID_vp_247,1,0.87,$0.0164
QID_vp_373,1,0.89,$0.0197
QID_vp_167,1,0.92,$0.0179
QID_vp_197,1,0.96,$0.0179
QID_vp_243,1,0.65,$0.0165
QID_vp_158,1,0.66,$0.0161
QID_vp_431,0,0.43,$0.0182
QID_vp_344,1,0.67,$0.0196
QID_vp_356,1,0.96,$0.0172
QID_vp_196,1,0.97,$0.0154
QID_vp_152,1,0.97,$0.0207
QID_vp_293,1,0.65,$0.0160
QID_vp_440,0,0.15,$0.0184
QID_vp_273,1,0.71,$0.0166
QID_vp_083,1,0.82,$0.0209
QID_vp_201,1,0.64,$0.0191
QID_vp_235,1,0.90,$0.0174
QID_vp_184,1,0.96,$0.0153
QID_vp_406,1,0.68,$0.0199
QID_vp_420,1,0.77,$0.0195
QID_vp_155,1,0.78,$0.0159
QID_vp_240,1,0.81,$0.0161
QID_vp_095,1,0.96,$0.0164
QID_vp_082,1,0.63,$0.0162
QID_vp_123,1,0.75,$0.0194
QID_vp_111,1,0.73,$0.0180
QID_vp_398,1,0.96,$0.0199
QID_vp_007,1,0.69,$0.0183
QID_vp_395,1,0.85,$0.0170
QID_vp_221,1,0.97,$0.0172
QID_vp_471,0,0.38,$0.0180
QID_vp_120,1,0.66,$0.0180
QID_vp_425,0,0.26,$0.0190
QID_vp_097,1,0.64,$0.0155
QID_vp_222,1,0.90,$0.0176
QID_vp_390,1,0.65,$0.0154
QID_vp_227,1,0.96,$0.0167
QID_vp_396,1,0.87,$0.0205
QID_vp_030,1,0.76,$0.0171
QID_vp_173,1,0.71,$0.0160
QID_vp_486,0,0.42,$0.0209
QID_vp_260,1,0.62,$0.0193
QID_vp_046,1,0.63,$0.0174
QID_vp_177,1,0.64,$0.0153
QID_vp_088,1,0.93,$0.0177
QID_vp_380,1,0.78,$0.0161
QID_vp_402,1,0.67,$0.0183
QID_vp_476,0,0.18,$0.0150
QID_vp_342,1,0.77,$0.0177
QID_vp_244,1,0.84,$0.0178
QID_vp_278,1,0.76,$0.0207
QID_vp_301,1,0.64,$0.0205
QID_vp_401,1,0.91,$0.0190
QID_vp_362,1,0.74,$0.0200
QID_vp_348,1,0.87,$0.0205
QID_vp_071,1,0.66,$0.0175
QID_vp_354,1,0.66,$0.0151
QID_vp_245,1,0.86,$0.0196
QID_vp_484,0,0.14,$0.0196
QID_vp_371,1,0.66,$0.0156
QID_vp_307,1,0.67,$0.0154
QID_vp_161,1,0.62,$0.0172
QID_vp_239,1,0.69,$0.0208
QID_vp_238,1,0.91,$0.0159
QID_vp_252,1,0.99,$0.0200
QID_vp_116,1,0.76,$0.0208
QID_vp_366,1,0.83,$0.0193
QID_vp_295,1,0.70,$0.0174
QID_vp_262,1,0.62,$0.0186
QID_vp_136,1,0.70,$0.0167
QID_vp_186,1,0.62,$0.0206
QID_vp_009,1,0.72,$0.0190
QID_vp_127,1,0.87,$0.0183
QID_vp_441,0,0.42,$0.0202
QID_vp_351,1,0.66,$0.0157
QID_vp_302,1,0.82,$0.0171
QID_vp_003,1,0.99,$0.0209
QID_vp_069,1,0.92,$0.0176
QID_vp_148,1,0.98,$0.0187
QID_vp_417,1,0.69,$0.0207
QID_vp_382,1,0.68,$0.0169
QID_vp_147,1,0.88,$0.0163
QID_vp_478,0,0.45,$0.0178
QID_vp_276,1,0.87,$0.0202
QID_vp_364,1,0.88,$0.0187
QID_vp_315,1,0.90,$0.0170
QID_vp_005,1,0.79,$0.0197
QID_vp_237,1,0.68,$0.0197
QID_vp_294,1,0.98,$0.0177
QID_vp_292,1,0.85,$0.0190
QID_vp_056,1,0.95,$0.0203
QID_vp_266,1,0.99,$0.0205
QID_vp_451,0,0.31,$0.0210
QID_vp_112,1,0.97,$0.0157
QID_vp_188,1,0.81,$0.0173
QID_vp_011,1,0.68,$0.0202
QID_vp_330,1,0.82,$0.0153
QID_vp_303,1,0.95,$0.0156
QID_vp_339,1,0.72,$0.0152
QID_vp_331,1,0.89,$0.0159
QID_vp_498,0,0.52,$0.0200
QID_vp_378,1,0.95,$0.0184
QID_vp_253,1,0.94,$0.0208
QID_vp_500,0,0.48,$0.0156
QID_vp_424,0,0.34,$0.0198
QID_vp_209,1,0.65,$0.0152
QID_vp_053,1,0.80,$0.0189
QID_vp_119,1,0.63,$0.0178
QID_vp_164,1,0.86,$0.0164
QID_vp_454,0,0.27,$0.0179
QID_vp_269,1,0.67,$0.0206
QID_vp_010,1,0.88,$0.0180
QID_vp_174,1,0.70,$0.0185
QID_vp_306,1,0.93,$0.0207
QID_vp_106,1,0.70,$0.0184
QID_vp_175,1,0.69,$0.0195
QID_vp_212,1,0.81,$0.0162
QID_vp_126,1,0.87,$0.0175
QID_vp_467,0,0.29,$0.0183
QID_vp_130,1,0.82,$0.0182
QID_vp_142,1,1.00,$0.0202
QID_vp_182,1,0.83,$0.0181
QID_vp_144,1,0.78,$0.0170
QID_vp_432,0,0.25,$0.0166
QID_vp_427,0,0.20,$0.0183
QID_vp_149,1,0.91,$0.0164
QID_vp_279,1,0.90,$0.0205
QID_vp_353,1,0.95,$0.0204
QID_vp_168,1,0.74,$0.0187
QID_vp_246,1,0.86,$0.0153
QID_vp_229,1,0.68,$0.0198
QID_vp_335,1,0.93,$0.0160
QID_vp_369,1,0.98,$0.0151
QID_vp_101,1,0.85,$0.0187
QID_vp_117,1,0.62,$0.0192
QID_vp_324,1,0.81,$0.0173
QID_vp_281,1,0.80,$0.0152
QID_vp_019,1,0.73,$0.0190
QID_vp_129,1,0.87,$0.0209
QID_vp_218,1,0.82,$0.0201
QID_vp_375,1,0.64,$0.0199
QID_vp_357,1,0.70,$0.0156
QID_vp_414,1,0.80,$0.0193
QID_vp_076,1,0.78,$0.0206
QID_vp_291,1,0.85,$0.0178
QID_vp_165,1,0.88,$0.0163
QID_vp_399,1,0.94,$0.0165
QID_vp_474,0,0.31,$0.0171
QID_vp_296,1,0.65,$0.0176
QID_vp_226,1,0.72,$0.0178
QID_vp_176,1,0.92,$0.0194
QID_vp_079,1,0.98,$0.0171
QID_vp_169,1,0.89,$0.0153
QID_vp_251,1,0.85,$0.0183
QID_vp_495,0,0.15,$0.0202
QID_vp_140,1,0.62,$0.0205
QID_vp_488,0,0.11,$0.0195
QID_vp_224,1,0.73,$0.0196
QID_vp_255,1,0.87,$0.0157
QID_vp_057,1,0.88,$0.0178
QID_vp_285,1,0.62,$0.0171
QID_vp_333,1,0.66,$0.0156
QID_vp_066,1,0.65,$0.0187
QID_vp_032,1,0.77,$0.0210
QID_vp_321,1,0.61,$0.0205
QID_vp_028,1,0.87,$0.0174
QID_vp_325,1,0.82,$0.0162
QID_vp_499,0,0.25,$0.0155
QID_vp_203,1,0.84,$0.0173
QID_vp_318,1,0.62,$0.0170
QID_vp_322,1,0.70,$0.0174
QID_vp_072,1,0.67,$0.0167
QID_vp_038,1,0.74,$0.0198
QID_vp_035,1,0.60,$0.0164
QID_vp_485,0,0.30,$0.0157
QID_vp_062,1,0.74,$0.0169
QID_vp_020,1,0.85,$0.0159
QID_vp_006,1,0.87,$0.0156
QID_vp_039,1,0.61,$0.0192
QID_vp_308,1,0.63,$0.0180
QID_vp_141,1,0.62,$0.0169
QID_vp_093,1,0.64,$0.0203
QID_vp_228,1,0.79,$0.0182
QID_vp_475,0,0.04,$0.0168
QID_vp_027,1,0.87,$0.0168
QID_vp_092,1,0.68,$0.0151
QID_vp_151,1,0.99,$0.0165
QID_vp_163,1,0.71,$0.0207
QID_vp_125,1,0.87,$0.0156
QID_vp_034,1,0.87,$0.0181
QID_vp_185,1,0.78,$0.0191
QID_vp_358,1,0.95,$0.0185
QID_vp_058,1,0.87,$0.0166
QID_vp_230,1,0.66,$0.0186
QID_vp_286,1,0.81,$0.0170
QID_vp_254,1,0.62,$0.0206
QID_vp_128,1,0.75,$0.0188
QID_vp_407,1,0.95,$0.0174
QID_vp_386,1,0.95,$0.0156
QID_vp_445,0,0.37,$0.0154
QID_vp_110,1,0.81,$0.0188
QID_vp_323,1,0.89,$0.0187
QID_vp_025,1,0.64,$0.0200
QID_vp_419,1,0.73,$0.0205
QID_vp_043,1,0.66,$0.0189
QID_vp_456,0,0.12,$0.0152
QID_vp_122,1,0.74,$0.0179
QID_vp_171,1,0.89,$0.0184
QID_vp_459,0,0.20,$0.0183
QID_vp_159,1,0.90,$0.0164
QID_vp_458,0,0.01,$0.0155
QID_vp_004,1,0.97,$0.0199
QID_vp_367,1,0.72,$0.0176
QID_vp_310,1,0.95,$0.0157
QID_vp_328,1,0.95,$0.0184
QID_vp_372,1,0.97,$0.0161
QID_vp_267,1,0.93,$0.0191
QID_vp_472,0,0.29,$0.0200
QID_vp_115,1,0.96,$0.0171
QID_vp_360,1,0.91,$0.0207
QID_vp_490,0,0.26,$0.0191
QID_vp_418,1,0.95,$0.0186
QID_vp_231,1,0.67,$0.0191
QID_vp_430,0,0.03,$0.0180
QID_vp_055,1,0.72,$0.0170
QID_vp_477,0,0.05,$0.0185
QID_vp_063,1,0.98,$0.0209
QID_vp_363,1,0.95,$0.0189
QID_vp_234,1,0.95,$0.0199
QID_vp_282,1,0.97,$0.0181
QID_vp_289,1,0.88,$0.0187
QID_vp_497,0,0.44,$0.0208
QID_vp_131,1,0.65,$0.0175
QID_vp_383,1,0.64,$0.0178
QID_vp_347,1,0.70,$0.0161
QID_vp_493,0,0.09,$0.0200
QID_vp_338,1,0.80,$0.0193
QID_vp_469,0,0.01,$0.0209
QID_vp_341,1,0.66,$0.0191
QID_vp_236,1,0.90,$0.0170
QID_vp_473,0,0.16,$0.0157
QID_vp_275,1,0.89,$0.0171
QID_vp_077,1,0.96,$0.0174
QID_vp_210,1,0.62,$0.0203
QID_vp_015,1,0.64,$0.0184
QID_vp_264,1,0.60,$0.0156
QID_vp_051,1,0.86,$0.0201
QID_vp_392,1,0.76,$0.0207
QID_vp_041,1,0.60,$0.0168
QID_vp_257,1,0.86,$0.0156
QID_vp_412,1,0.92,$0.0191
QID_vp_170,1,0.66,$0.0184
QID_vp_314,1,0.98,$0.0153
QID_vp_270,1,0.88,$0.0185
QID_vp_421,1,0.78,$0.0181
QID_vp_433,0,0.16,$0.0156
QID_vp_195,1,0.73,$0.0191
QID_vp_091,1,0.70,$0.0206
QID_vp_217,1,0.76,$0.0185
QID_vp_078,1,0.66,$0.0204
QID_vp_200,1,0.65,$0.0173
QID_vp_374,1,0.60,$0.0153
QID_vp_044,1,0.61,$0.0175
QID_vp_248,1,0.75,$0.0173
QID_vp_100,1,0.60,$0.0164
QID_vp_067,1,0.88,$0.0161
QID_vp_105,1,0.92,$0.0203
QID_vp_280,1,0.81,$0.0177
QID_vp_453,0,0.22,$0.0156
QID_vp_023,1,0.77,$0.0193
QID_vp_429,0,0.52,$0.0175
QID_vp_479,0,0.21,$0.0185
QID_vp_272,1,0.89,$0.0210
QID_vp_340,1,0.66,$0.0151
QID_vp_216,1,0.89,$0.0188
QID_vp_087,1,0.71,$0.0165
QID_vp_343,1,0.92,$0.0200
QID_vp_017,1,0.75,$0.0194
QID_vp_208,1,0.76,$0.0177
QID_vp_029,1,0.95,$0.0163
QID_vp_334,1,0.82,$0.0161
QID_vp_376,1,0.77,$0.0187
QID_vp_311,1,0.94,$0.0192
QID_vp_179,1,0.68,$0.0154
QID_vp_094,1,0.99,$0.0194
QID_vp_361,1,0.83,$0.0157
QID_vp_370,1,0.99,$0.0189
QID_vp_480,0,0.39,$0.0175
QID_vp_428,0,0.31,$0.0206
QID_vp_021,1,0.76,$0.0174
QID_vp_143,1,0.90,$0.0189
QID_vp_439,0,0.28,$0.0193
QID_vp_365,1,0.73,$0.0182
QID_vp_381,1,0.97,$0.0166
QID_vp_316,1,0.91,$0.0177
QID_vp_329,1,0.99,$0.0194
QID_vp_352,1,0.69,$0.0164
QID_vp_103,1,0.78,$0.0151
QID_vp_385,1,0.87,$0.0196
QID_vp_045,1,0.67,$0.0171
QID_vp_081,1,0.74,$0.0173
QID_vp_466,0,0.04,$0.0161
QID_vp_491,0,0.06,$0.0159
QID_vp_349,1,0.60,$0.0175
QID_vp_446,0,0.02,$0.0167
QID_vp_172,1,0.77,$0.0153
QID_vp_146,1,0.71,$0.0198
QID_vp_442,0,0.31,$0.0198
